Serogroup,Danish_Type,US_Type,Structure_Status,Backbone_Normalized,Repeat_Unit_Machine,Branch_Attachment_Evidence,Notes,Reference,IUPAC_Condensed_Repeat_Unit_Verbatim
20,20A,20,full_structure,→3)-α-GlcpNAc-(1-P-6)-α-Glcp-(1→6)-β-Glcp-(1→3)-β-Galf[5Ac:0.9;6Ac:0.9]-(1→3)-β-Glcp-(1→,→3)-[β-Galf[2Ac:0.9]-(1→4)]-α-GlcpNAc-(1-P-6)-α-Glcp-(1→6)-β-Glcp-(1→3)-β-Galf[5Ac:0.9;6Ac:0.9]-(1→3)-β-Glcp-(1→,snfg-fig2,,28,"β-Galf2Ac0.9
1
↓
4
→3)-α-GlcpNAc-(1-P-6)-α-Glcp-(1→6)-β-Glcp-(1→3)-β-Galf50.9,60.9Ac2-(1→3)-β-Glcp-(1→"
20,20B,ND,full_structure,→3)-α-GlcpNAc-(1-P-6)-α-Glcp-(1→6)-β-Glcp-(1→3)-β-Galf[5Ac:0.9;6Ac:0.9]-(1→3)-β-Glcp-(1→,→3)-[β-Galf[2Ac:0.9]-(1→4)][α-Glcp-(1→6)]-α-GlcpNAc-(1-P-6)-α-Glcp-(1→6)-β-Glcp-(1→3)-β-Galf[5Ac:0.9;6Ac:0.9]-(1→3)-β-Glcp-(1→,snfg-fig2,,28,"β-Galf2Ac0.9
1
↓
4
→3)-α-GlcpNAc-(1-P-6)-α-Glcp-(1→6)-β-Glcp-(1→3)-β-Galf50.9,60.9Ac2-(1→3)-β-Glcp-(1→
6
↑
1
α-Glcp"
21,21,21,constituents_only,,,,,31,"Constituents: Glc, Gal, and GlcN"
22,22F,22,full_structure,→4)-β-D-GlcpA-(1→4)-β-L-Rhap[2Ac:0.8]-(1→4)-α-D-Glcp-(1→3)-α-D-Galf-(1→2)-α-L-Rhap-(1→,→4)-β-D-GlcpA-(1→4)-[α-D-Glcp-(1→3)]-β-L-Rhap[2Ac:0.8]-(1→4)-α-D-Glcp-(1→3)-α-D-Galf-(1→2)-α-L-Rhap-(1→,snfg-fig2,,31,"→4)-β-d-GlcpA-(1→4)-β-l-Rhap2Ac0.8-(1→4)-α-d-Glcp-(1→3)-α-d-Galf-(1→2)-α-l-Rhap-(1→
3
↑
1
α-d-Glcp"
22,22A,63,none,,,,,,No information
23,23F,23,full_structure,→4)-β-D-Glcp-(1→4)-β-D-Galp-(1→4)-β-L-Rhap-(1→,→4)-β-D-Glcp-(1→4)-[Gro-(2→P→3)][α-L-Rhap-(1→2)]-β-D-Galp-(1→4)-β-L-Rhap-(1→,snfg-fig2,,31,"Gro-(2→P
↓
3
→4)-β-d-Glcp-(1→4)-β-d-Galp-(1→4)-β-l-Rhap-(1→
2
↑
1
α-l-Rhap"
23,23A,46,full_structure,→4)-β-D-Glcp-(1→3)-[[α-L-Rhap-(1→2)]-[Gro-(2→P→3)]-β-D-Galp-(1→4)]-β-L-Rhap-(1→,→4)-β-D-Glcp-(1→3)-[[α-L-Rhap-(1→2)]-[Gro-(2→P→3)]-β-D-Galp-(1→4)]-β-L-Rhap-(1→,linear,,Ravenscroft et al. Carbohydr Res 2017;450:19-29. doi:10.1016/j.carres.2017.08.006,→4)-β-D-Glcp-(1→3)-[[α-L-Rhap-(1→2)]-[Gro-(2→P→3)]-β-D-Galp-(1→4)]-β-L-Rhap-(1→
23,23B,64,full_structure,→4)-β-D-Glcp-(1→4)-[Gro-(2→P→3)]-β-D-Galp-(1→4)-β-L-Rhap-(1→,→4)-β-D-Glcp-(1→4)-[Gro-(2→P→3)]-β-D-Galp-(1→4)-β-L-Rhap-(1→,linear,,Ravenscroft et al. Carbohydr Res 2017;450:19-29. doi:10.1016/j.carres.2017.08.006,→4)-β-D-Glcp-(1→4)-[Gro-(2→P→3)]-β-D-Galp-(1→4)-β-L-Rhap-(1→
24,24F,24,prose_partial,,,,,Ganaie et al. J Clin Microbiol 2021;59(7). doi:10.1128/jcm.00540-21,Backbone: [β-Ribf-(1→4)-α-Rhap-(1→3)-β-GlcpNAc-(1→4)-β-Rhap-(1→4)-β-Glcp] with arabinitol-phosphate side chain
24,24A,65,full_structure,→4)-[-α-Rhap-(1→3)]-β-GlcpNAc-[6-P-Cho]-(1→4)-β-Rhap-[3-P-1-Arabinitol]-(1→4)-β-Glcp-(1→,→4)-[-α-Rhap-(1→3)]-β-GlcpNAc-[6-P-Cho]-(1→4)-β-Rhap-[3-P-1-Arabinitol]-(1→4)-β-Glcp-(1→,linear,,Ganaie et al. J Clin Microbiol 2021;59(7). doi:10.1128/jcm.00540-21,→4)-[-α-Rhap-(1→3)]-β-GlcpNAc-[6-P-Cho]-(1→4)-β-Rhap-[3-P-1-Arabinitol]-(1→4)-β-Glcp-(1→
24,24B,60,prose_partial,,,,,Ganaie et al. J Clin Microbiol 2021;59(7). doi:10.1128/jcm.00540-21,Backbone: [β-Ribf-(1→4)-α-Rhap-(1→3)-β-GlcpNAc-(1→4)-β-Rhap-(1→4)-β-Glcp] with ribitol-phosphate side chain
25,25F,25,constituents_only,,,,,31,"Constituents: Glc, Rha, GlcN, Rib, and Rib-ol-P"
25,25A,,none,,,,,,No information
27,27,27,full_structure,"3)-β-D-GlcpNAc4,6(S)Pyr-(1→3)-α-D-Galp-(1→4)-β-L-Rhap-(1→4)-β-D-Glcp(1→","3)-β-D-GlcpNAc4,6(S)Pyr-(1→3)-α-D-Galp-(1→4)-[Cho-P→2]-β-L-Rhap-(1→4)-β-D-Glcp(1→",snfg-fig2,,31,"3)-β-d-GlcpNAc4,6(S)Pyr-(1→3)-α-d-Galp-(1→4)-β-l-Rhap-(1→4)-β-d-Glcp(1→
2
↑
Cho→P"
28,28F,28,constituents_only,,,,,31,"Constituents: Glc, Rha, Gro, and Cho-P"
28,28A,79,constituents_only,,,,,31,Constituents: Cho-P
29,29,29,full_structure,→4)-β-D-GalpNAc-(1→6)-β-D-Galf-(1→3)-β-D-Galp-(1→6)-β-D-Galf-(1→1)-D-Rib-ol-(5→P→,→4)-β-D-GalpNAc-(1→6)-β-D-Galf-(1→3)-β-D-Galp-(1→6)-β-D-Galf-(1→1)-D-Rib-ol-(5→P→,linear,,31,→4)-β-d-GalpNAc-(1→6)-β-d-Galf-(1→3)-β-d-Galp-(1→6)-β-d-Galf-(1→1)-d-Rib-ol-(5→P→
31,31,31,full_structure,→2)-β-L-Rhap-(1→3)-β-D-Galf-(1→3)-β-L-Rhap-(1→4)-β-D-GlcpA-(1→3)-β-D-Galf-(1→,→2)-β-L-Rhap-(1→3)-β-D-Galf-(1→3)-β-L-Rhap-(1→4)-β-D-GlcpA-(1→3)-β-D-Galf-(1→,linear,,31,→2)-β-l-Rhap-(1→3)-β-d-Galf-(1→3)-β-l-Rhap-(1→4)-β-d-GlcpA-(1→3)-β-d-Galf-(1→
32,32F,32,full_structure,→4)-β-D-Glcp-(1→3)-α-D-Glcp-(1→4)-β-L-Rhap[2Ac]-(1→,→4)-β-D-Glcp-(1→3)-[α-L-Rhap-(1→P→2)]-α-D-Glcp-(1→4)-[Cho-P→3]-β-L-Rhap[2Ac]-(1→,snfg-fig2,,31,"→4)-β-d-Glcp-(1→3)-α-d-Glcp-(1→4)-β-l-Rhap2Ac-(1→
2 3
↑ ↑
α-l-Rhap-(1→P Cho→P"
32,32A,67,full_structure,→4)-β-D-Glcp-(1→3)-α-D-Glcp[4Ac]-(1→4)-β-L-Rhap[2Ac]-(1→,→4)-β-D-Glcp-(1→3)-[α-L-Rhap-(1→P→2)]-α-D-Glcp[4Ac]-(1→4)-[Cho-P→3]-β-L-Rhap[2Ac]-(1→,snfg-fig2,,31,"→4)-β-d-Glcp-(1→3)-α-d-Glcp4Ac-(1→4)-β-l-Rhap2Ac-(1→
2 3
↑ ↑
α-l-Rhap-(1→P Cho→P"
33,33F,70,full_structure,→3)-β-D-Galp-(1→3)-α-D-Galp-(1→3)-β-D-Galf-(1→3)-β-D-Glcp-(1→5)-β-D-Galf[2Ac:0.5]-(1→,→3)-β-D-Galp-(1→3)-[α-D-Galp-(1→2)]-α-D-Galp-(1→3)-β-D-Galf-(1→3)-β-D-Glcp-(1→5)-β-D-Galf[2Ac:0.5]-(1→,snfg-fig2,,285,"→3)-β-d-Galp-(1→3)-α-d-Galp-(1→3)-β-d-Galf-(1→3)-β-d-Glcp-(1→5)-β-d-Galf2Ac0.5-(1→
2
↑
1
α-d-Galp"
33,33A,40,full_structure,→3)-β-D-Galp-(1→3)-α-D-Galp-(1→3)-β-D-Galf[5Ac;6Ac]-(1→3)-β-D-Glcp-(1→5)-β-D-Galf[2Ac]-(1→,→3)-β-D-Galp-(1→3)-[α-D-Galp-(1→2)]-α-D-Galp-(1→3)-β-D-Galf[5Ac;6Ac]-(1→3)-β-D-Glcp-(1→5)-β-D-Galf[2Ac]-(1→,snfg-fig2,,286,"→3)-β-d-Galp-(1→3)-α-d-Galp-(1→3)-β-d-Galf5,6Ac2-(1→3)-β-d-Glcp-(1→5)-β-d-Galf2Ac-(1→
2
↑
1
α-d-Galp"
33,33B,42,full_structure,→6)-β-D-Galf[2Ac]-(1→3)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→4)-Rib-ol-(5→P→2)-α-D-Glcp-(1→3)-β-D-Glcp-(1→,→6)-β-D-Galf[2Ac]-(1→3)-β-D-GalpNAc-(1→3)-[α-D-Galp-(1→2)]-α-D-Galp-(1→4)-Rib-ol-(5→P→2)-α-D-Glcp-(1→3)-β-D-Glcp-(1→,snfg-fig2,,37,"→6)-β-d-Galf2Ac-(1→3)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→4)-Rib-ol-(5→P→2)-α-d-Glcp-(1→3)-β-d-Glcp-(1→
2
↑
1
α-d-Galp"
33,33C,39,full_structure,→6)-β-D-Galf[2Ac]-(1→3)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→3)-Rib-ol-(5→P→3)-α-D-Galp-(1→3)-β-D-Galp-(1→,→6)-β-D-Galf[2Ac]-(1→3)-β-D-GalpNAc-(1→3)-[α-D-Galp-(1→2)]-α-D-Galp-(1→3)-Rib-ol-(5→P→3)-α-D-Galp-(1→3)-β-D-Galp-(1→,snfg-fig2,,37,"→6)-β-d-Galf2Ac-(1→3)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→3)-Rib-ol-(5→P→3)-α-d-Galp-(1→3)-β-d-Galp-(1→
2
↑
1
α-d-Galp"
33,33D,ND,full_structure,→6)-β-D-Galf[2Ac]-(1→3)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→4)-Rib-ol-(5→P→2)-α-D-Galp-(1→3)-β-D-Glcp-(1→,→6)-β-D-Galf[2Ac]-(1→3)-β-D-GalpNAc-(1→3)-[α-D-Galp-(1→2)]-α-D-Galp-(1→4)-Rib-ol-(5→P→2)-α-D-Galp-(1→3)-β-D-Glcp-(1→,snfg-fig2,,37,"→6)-β-d-Galf2Ac-(1→3)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→4)-Rib-ol-(5→P→2)-α-d-Galp-(1→3)-β-d-Glcp-(1→
2
↑
1
α-d-Galp"
33,33Ec,,none,,,,,,No information
34,34,41,full_structure,→3)-β-D-Galf-(1→3)-α-D-Glcp-(1→2)-β-D-Galf[6Ac:0.5]-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,→3)-β-D-Galf-(1→3)-α-D-Glcp-(1→2)-β-D-Galf[6Ac:0.5]-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,linear,,31,→3)-β-d-Galf-(1→3)-α-d-Glcp-(1→2)-β-d-Galf6Ac0.5-(1→3)-α-d-Galp-(1→2)-d-Rib-ol-(5→P→
35,35F,35,full_structure,→6)-β-D-Galf[2Ac]-(1→3)-α-D-Galp-(1→2)-Rib-ol-(5→P→3)-β-D-Galf-(1→3)-β-D-Galp-(1→,→6)-β-D-Galf[2Ac]-(1→3)-α-D-Galp-(1→2)-Rib-ol-(5→P→3)-β-D-Galf-(1→3)-β-D-Galp-(1→,linear,,290,→6)-β-d-Galf2Ac-(1→3)-α-d-Galp-(1→2)-Rib-ol-(5→P→3)-β-d-Galf-(1→3)-β-d-Galp-(1→
35,35A,47/62,full_structure,→3)-β-D-Galp-(1→3)-β-D-Galf[5Ac;6Ac]-(1→3)-β-D-Glcp-(1→6)-β-D-Galf[2Ac]-(1→1)-Man-ol-(6→P→,→3)-β-D-Galp-(1→3)-β-D-Galf[5Ac;6Ac]-(1→3)-β-D-Glcp-(1→6)-β-D-Galf[2Ac]-(1→1)-Man-ol-(6→P→,linear,,31,"→3)-β-d-Galp-(1→3)-β-d-Galf5,6Ac2-(1→3)-β-d-Glcp-(1→6)-β-d-Galf2Ac-(1→1)-Man-ol-(6→P→"
35,35B,66,full_structure,→4)-β-D-GalpNAc-(1→6)-β-D-Galf-(1→3)-β-D-Glcp-(1→6)-β-D-Galf[2Ac:0.7]-(1→1)-Rib-ol-(5→P→,→4)-β-D-GalpNAc-(1→6)-β-D-Galf-(1→3)-β-D-Glcp-(1→6)-β-D-Galf[2Ac:0.7]-(1→1)-Rib-ol-(5→P→,linear,,31,→4)-β-d-GalpNAc-(1→6)-β-d-Galf-(1→3)-β-d-Glcp-(1→6)-β-d-Galf2Ac0.7-(1→1)-Rib-ol-(5→P→
35,35C,61,full_structure,→6)-β-D-Galf-(1→1)-Man-ol-(6→P→3)-β-D-Galp-(1→3)-β-D-Galf-(1→3)-β-D-Glcp-(1→,→6)-[α-D-Glcp-(1→2)]-β-D-Galf-(1→1)-Man-ol-(6→P→3)-β-D-Galp-(1→3)-β-D-Galf-(1→3)-β-D-Glcp-(1→,snfg-fig2,,290,"→6)-β-d-Galf-(1→1)-Man-ol-(6→P→3)-β-d-Galp-(1→3)-β-d-Galf-(1→3)-β-d-Glcp-(1→
2
↑
1
α-d-Glcp"
36,36,36,none,,,,,,No information
37,37,37,full_structure,→3)-β-D-Glcp-(1→,→3)-[β-D-Glcp-(1→2)]-β-D-Glcp-(1→,valence,,31,"→3)-β-d-Glcp-(1→
2
↑
1
β-d-Glcp"
38,38,71,none,,,,,,No information
39,39,69,full_structure,→6)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-β-D-GalpNAc-(1→3)-α-D-Galp-(1→1)-D-Rib-ol-(5→P→,→6)-β-D-Galf-(1→3)-β-D-Galp-(1→4)-[β-D-Galp-(1→6)][β-D-Galf[3Ac:0.35;6Ac:0.65]-(1→3)]-β-D-GalpNAc-(1→3)-α-D-Galp-(1→1)-D-Rib-ol-(5→P→,snfg-fig2,,287,"β-d-Galp
1
↓
6
→6)-β-d-Galf-(1→3)-β-d-Galp-(1→4)-β-d-GalpNAc-(1→3)-α-d-Galp-(1→1)-d-Rib-ol-(5→P→
3
↑
1
β-d-Galf30.35,60.65Ac2"
40,40,45,none,,,,,,No information
41,41F,38,full_structure,→4)-β-D-GlcpA-(1→3)-β-D-Galf-(1→3)-β-D-Glcp-(1→3)-β-D-Glcp-(1→3)-α-D-Rhap-(1→,→4)-β-D-GlcpA-(1→3)-[α-D-Glcp-(1→2)]-β-D-Galf-(1→3)-β-D-Glcp-(1→3)-β-D-Glcp-(1→3)-[β-D-Rhap[2Ac:0.4;3Ac:0.35;4Ac:0.15]-(1→2)]-α-D-Rhap-(1→,snfg-fig2,,288,"→4)-β-d-GlcpA-(1→3)-β-d-Galf-(1→3)-β-d-Glcp-(1→3)-β-d-Glcp-(1→3)-α-d-Rhap-(1→
2 2
↑ ↑
1 1
α-d-Glcp β-d-Rhap20.4,30.35,40.15Ac3"
41,41A,74,full_structure,→4)-β-D-GlcpA-(1→3)-β-D-Galf-(1→3)-β-D-Glcp-(1→3)-β-D-Glcp-(1→3)-α-D-Rhap-(1→,→4)-β-D-GlcpA-(1→3)-[α-D-Glcp-(1→2)]-β-D-Galf-(1→3)-β-D-Glcp-(1→3)-β-D-Glcp-(1→3)-[β-L-Rhap-(1→2)]-α-D-Rhap-(1→,snfg-fig2,,288,"→4)-β-d-GlcpA-(1→3)-β-d-Galf-(1→3)-β-d-Glcp-(1→3)-β-d-Glcp-(1→3)-α-d-Rhap-(1→
2 2
↑ ↑
1 1
α-d-Glcp β-l-Rhap"
42,42,80,full_structure,→3)-β-D-Galp-(1→3)-β-D-Galf-[5Ac:0.7;6Ac]-(1→3)-β-D-Glcp-(1→6)-β-D-Galf-(1→1)-D-Man-ol-(6→P→,→3)-[α-D-Glcp-(1→2)]-β-D-Galp-(1→3)-β-D-Galf-[5Ac:0.7;6Ac]-(1→3)-β-D-Glcp-(1→6)-β-D-Galf-(1→1)-D-Man-ol-(6→P→,snfg-fig2,,287,"→3)-β-d-Galp-(1→3)-β-d-Galf-50.7,6Ac2-(1→3)-β-d-Glcp-(1→6)-β-d-Galf-(1→1)-d-Man-ol-(6→P→
2
↑
1
α-d-Glcp"
43,43,75,none,,,,,,No information
44,44,81,none,,,,,,No information
45,45,72,full_structure,→3)-α-D-Galp-(1→3)-α-L-FucpNAc-(1→3)-β-D-GalpNAc-(1→2)-α-L-Rhap-(1→,→3)-[α-D-Galp-(1→6)]-α-D-Galp-(1→3)-[Gro-(1→P→6)-β-D-GlcpNAc-(1→4)]-α-L-FucpNAc-(1→3)-β-D-GalpNAc-(1→2)-α-L-Rhap-(1→,snfg-fig2,,31,"Gro-(1→P→6)-β-d-GlcpNAc
1
↓
4
→3)-α-d-Galp-(1→3)-α-l-FucpNAc-(1→3)-β-d-GalpNAc-(1→2)-α-l-Rhap-(1→
6
↑
1
α-d-Galp"
46,46,73,constituents_only,,,,,31,"Constituents: d-Gal, d-GalNAc, d-GlcNAc, and l-FucNAc"
47,47F,52,full_structure,→6)-β-D-Galf[3Ac;5Ac]-(1→3)-β-D-Galp-(1→6)-β-D-Galf[2Ac]-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,→6)-β-D-Galf[3Ac;5Ac]-(1→3)-β-D-Galp-(1→6)-β-D-Galf[2Ac]-(1→3)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,linear,,287,"→6)-β-d-Galf3,5Ac2-(1→3)-β-d-Galp-(1→6)-β-d-Galf2Ac-(1→3)-α-d-Galp-(1→2)-d-Rib-ol-(5→P→"
47,47A,84,full_structure,→6)-β-D-Galf[3Ac;5Ac]-(1→3)-β-D-Galp-(1→4)-α-D-GlcpNAc-(1→4)-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,→6)-β-D-Galf[3Ac;5Ac]-(1→3)-β-D-Galp-(1→4)-[β-D-Glcp-(1→6)]-α-D-GlcpNAc-(1→4)-[β-D-Glcp-(1→3)]-α-D-Galp-(1→2)-D-Rib-ol-(5→P→,snfg-fig2,,289,"β-d-Glcp
1
↓
6
→6)-β-d-Galf3,5Ac2-(1→3)-β-d-Galp-(1→4)-α-d-GlcpNAc-(1→4)-α-d-Galp-(1→2)-d-Rib-ol-(5→P→
3
↑
1
β-d-Glcp"
48,48,82,none,,,,,,No information
CWPSd,CWPS1,ND,full_structure,→6)-β-D-Glcp-(1→3)-α-AATGalp-(1→4)-α-D-GalpNAc-(1→3)-β-D-GalpNAc-(1→1)-D-Rib-ol-5→P→,,ambiguous,branch-attachment-unresolved,42,"Cho-P
↓
6
→6)-β-d-Glcp-(1→3)-α-AATGalp-(1→4)-α-d-GalpNAc-(1→3)-β-d-GalpNAc-(1→1)-d-Rib-ol-5→P→"
CWPSd,CWPS2,ND,full_structure,→6)-β-D-Glcp-(1→3)-α-AATGalp-(1→4)-α-D-GalpNAc-(1→3)-β-D-GalpNAc-(1→1)-D-Ribitol-(5→P→,→6)-β-D-Glcp-(1→3)-α-AATGalp-(1→4)-[Cho-P→6]-α-D-GalpNAc-(1→3)-[Cho-P→6]-β-D-GalpNAc-(1→1)-D-Ribitol-(5→P→,valence,,42,"Cho-P Cho-P
↓ ↓
6 6
→6)-β-d-Glcp-(1→3)-α-AATGalp-(1→4)-α-d-GalpNAc-(1→3)-β-d-GalpNAc-(1→1)-d-Ribitol-(5→P→"
CWPSd,CWPS3,ND,full_structure,→6)-β-D-Galp-(1→3)-α-AATGalp-(1→4)-α-D-GalpNAc-(1→3)-β-D-GalpNAc-(1→1)-D-Ribitol-(5→P→,→6)-β-D-Galp-(1→3)-α-AATGalp-(1→4)-[Cho-P→6]-α-D-GalpNAc-(1→3)-[Cho-P→6]-β-D-GalpNAc-(1→1)-D-Ribitol-(5→P→,valence,,41,"Cho-P Cho-P
↓ ↓
6 6
→6)-β-d-Galp-(1→3)-α-AATGalp-(1→4)-α-d-GalpNAc-(1→3)-β-d-GalpNAc-(1→1)-d-Ribitol-(5→P→"
24,24C,,composite,,,,,Ganaie et al. J Clin Microbiol 2021;59(7). doi:10.1128/jcm.00540-21,Variable mixture of 24F-like and 24B-like repeating units (strain-dependent ribitol:arabinitol ratio)
33,33E,,prose_partial,,,,,Ganaie et al. J Biol Chem 2023;299:105085. doi:10.1016/j.jbc.2023.105085,Same backbone as 33F: [→5)-β-D-Galf2Ac-(1→3)-β-D-Galp-(1→3)-α-D-Galp-(1→3)-β-D-Galf-(1→3)-β-D-Glcp-(1→] but without branching α-D-Galp (wciE inactivated)
33,33G,,full_structure,→5)-β-Galf-(1→3)-β-Glcp-(1→5)-β-Galf [2Ac]-(1→3)-β-GalpNAc-(1→3)-α-Galp-(1→4)-Rib-ol-(5→P→,→5)-β-Galf-(1→3)-β-Glcp-(1→5)-β-Galf [2Ac]-(1→3)-β-GalpNAc-(1→3)-α-Galp-(1→4)-Rib-ol-(5→P→,linear,,Manna et al. Microbiol Spectrum 2024;12. doi:10.1128/spectrum.03579-23,→5)-β-Galf-(1→3)-β-Glcp-(1→5)-β-Galf 2Ac-(1→3)-β-GalpNAc-(1→3)-α-Galp-(1→4)-Rib-ol-(5→P→
36,36A,,prose_partial,,,,,Ganaie et al. J Clin Microbiol 2023;61(4). doi:10.1128/jcm.00024-23,Backbone: [→5)-α-D-Galf-(1→1)-D-Rib-ol-(5→P→6)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→] with β-D-Galp branch on Rib-ol and α-D-Glcp-(1→3) branch on ManpNAc
36,36B,,prose_partial,,,,,Ganaie et al. J Clin Microbiol 2023;61(4). doi:10.1128/jcm.00024-23,Backbone: [→5)-α-D-Galf-(1→1)-D-Rib-ol-(5→P→6)-β-D-ManpNAc-(1→4)-β-D-Glcp-(1→] with β-D-Galp branch on Rib-ol and α-D-Galp-(1→3) branch on ManpNAc
7,7D,,composite,,,,,Kjeldsen et al. Carbohydr Res 2018;463:24-31. doi:10.1016/j.carres.2018.04.011,Hybrid: ~1:5 mixture of 7B and 7C repeating-unit structures
